mod,spec,value,source,scraped_at
Garrett turbocharger,description,"Garrett Motion Inc., formerlyHoneywell Transportation SystemsandHoneywell Turbo Technologies, is an American company primarily involved in engineering, development and manufacturing ofturbochargersand relatedforced inductionsystems for ground vehicles from small passenger cars to large trucks and industrial equipment and construction machinery. It originated as part ofGarrett AiResearch's Industrial Division inPhoenix, Arizona, in 1954, after which they entered a contract to provide 5,000 turboc",https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317031
Garrett turbocharger,Formerly,Honeywell Turbo TechnologiesHoneywell Transportation SystemsGarrett AiResearch's Industrial Division,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317544
Garrett turbocharger,Company type,Public,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317580
Garrett turbocharger,Traded as,Nasdaq:GTX,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317616
Garrett turbocharger,Industry,Automotive,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317643
Garrett turbocharger,Founded,1954 asGarrett AiResearch's Industrial Division2018 as independent company,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317672
Garrett turbocharger,Headquarters,"Rolle, Switzerland",https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317699
Garrett turbocharger,Key people,Olivier Rabiller (PresidentandCEO)Daniel Ninivaggi(Chairman of the Board),https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317731
Garrett turbocharger,Products,Turbochargers,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317757
Garrett turbocharger,Revenue,US$3.6 billion (2021)[1],https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317790
Garrett turbocharger,Net income,US $707 million (2021)[1],https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317822
Garrett turbocharger,Number of employees,"7,500 (2021)",https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317848
Garrett turbocharger,Website,www.garrettmotion.com,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.317877
Garrett turbocharger,Year,Manufacturer,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318003
Garrett turbocharger,1968,Eagle-Offy,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318040
Garrett turbocharger,1977,Renault,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318069
Garrett turbocharger,1978,Renault-Alpine,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318097
Garrett turbocharger,1979,Saab,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318128
Garrett turbocharger,1987-1992,Lancia,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318170
Garrett turbocharger,1988,Nissan,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318202
Garrett turbocharger,1994,Toyota,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318230
Garrett turbocharger,2000,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318259
Garrett turbocharger,2004-2012,Citroën,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318287
Garrett turbocharger,2001,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318315
Garrett turbocharger,2002,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318358
Garrett turbocharger,2003,Bentley,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318390
Garrett turbocharger,2004,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318419
Garrett turbocharger,2005,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318452
Garrett turbocharger,2006,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318481
Garrett turbocharger,2007,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318510
Garrett turbocharger,2008,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318538
Garrett turbocharger,2009,Peugeot,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318566
Garrett turbocharger,2010,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318597
Garrett turbocharger,2011+,Various,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318631
Garrett turbocharger,2011,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318659
Garrett turbocharger,2011,Citroën,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318695
Garrett turbocharger,2012,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318724
Garrett turbocharger,2013,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318755
Garrett turbocharger,2013,Peugeot,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318783
Garrett turbocharger,2014,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318811
Garrett turbocharger,2015,Porsche,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318839
Garrett turbocharger,2016 – 2019,Ford,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318875
Garrett turbocharger,2016,Porsche,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318903
Garrett turbocharger,2017,Porsche,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318931
Garrett turbocharger,2018,Toyota,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318958
Garrett turbocharger,2019,Audi,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.318988
Garrett turbocharger,2019,Lexus,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.319016
Garrett turbocharger,2019,Toyota,https://en.wikipedia.org/wiki/Garrett_Motion,2026-04-01T09:58:08.319044
BorgWarner turbocharger,description,"BorgWarner Inc.is an Americanautomotiveande-mobilitysupplier headquartered inAuburn Hills, Michigan. As of 2023, the company maintains production facilities and sites at 92 locations in 24 countries,[1]and generates revenues of US$14.2 billion, while employing around 39,900 people.[3]The company is one of the 25largest automotive suppliers in the world.[4]Since February 2025, Joseph F. Fadool has been CEO of BorgWarner Inc.[5]",https://en.wikipedia.org/wiki/BorgWarner,2026-04-01T09:58:08.770784
BorgWarner turbocharger,Company type,Public,https://en.wikipedia.org/wiki/BorgWarner,2026-04-01T09:58:08.771526
BorgWarner turbocharger,Traded as,NYSE:BWAS&P 400component,https://en.wikipedia.org/wiki/BorgWarner,2026-04-01T09:58:08.771566
BorgWarner turbocharger,Industry,Automotive,https://en.wikipedia.org/wiki/BorgWarner,2026-04-01T09:58:08.771593
BorgWarner turbocharger,Founded,1880; 146 years ago(1880),https://en.wikipedia.org/wiki/BorgWarner,2026-04-01T09:58:08.771623
