manufacturer,region,model,category,wiki_source,discovered_at
Toyota,JDM,FY,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236419
Toyota,JDM,Toyota Yaris,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236502
Toyota,JDM,Toyota Highlander,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236592
Toyota,JDM,Lexus RX,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236604
Toyota,JDM,Toyota Sienna,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236655
Toyota,JDM,Lexus ES,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236667
Toyota,JDM,United States,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236680
Toyota,JDM,China,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236693
Toyota,JDM,Japan,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236703
Toyota,JDM,GCC,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236713
Toyota,JDM,India,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236723
Toyota,JDM,Indonesia,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236735
Toyota,JDM,Australia,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236746
Toyota,JDM,Canada,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236757
Toyota,JDM,Thailand,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236768
Toyota,JDM,Philippines,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236780
Toyota,JDM,France,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236791
Toyota,JDM,Mexico,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236802
Toyota,JDM,Czech Republic,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236814
Toyota,JDM,Century,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236825
Toyota,JDM,Daihatsu,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236836
Toyota,JDM,Perodua,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236848
Toyota,JDM,Hino,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236857
Toyota,JDM,Archion,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236868
Toyota,JDM,Lexus,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236879
Toyota,JDM,Scion,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236889
Toyota,JDM,WiLL,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236900
Toyota,JDM,Toyopet,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236911
Toyota,JDM,Leahead,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236921
Toyota,JDM,Ranz,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236931
Toyota,JDM,Altona Plant,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236944
Toyota,JDM,New Zealand,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236955
Toyota,JDM,South Korea,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236967
Toyota,JDM,Toyota Auto Body,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236980
Toyota,JDM,Toyota Central R&D Labs,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.236993
Toyota,JDM,Toyota Motor East Japan,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237007
Toyota,JDM,Central Motors,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237019
Toyota,JDM,Kanto Auto Works,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237032
Toyota,JDM,Toyota Motors Tohoku,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237045
Toyota,JDM,Toyota Motor Hokkaido,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237058
Toyota,JDM,Toyota Motor Kyushu,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237070
Toyota,JDM,Kenya,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237081
Toyota,JDM,South Africa,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237093
Toyota,JDM,Argentina,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237105
Toyota,JDM,North America,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237117
Toyota,JDM,Calty Design Research,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237130
Toyota,JDM,TBMNC,unknown,https://en.wikipedia.org/wiki/Toyota,2026-04-10T10:07:10.237142
